"FECHA","HORA","CODESTACIONDEST","CODVESTIBULODEST","CODESTACIONORIG","NUMCANCELACIONES","INDESTIMACION"
01-NOV-25,3772,"BSR",2,"MOY",1,
01-NOV-25,4122,"BOL",3,"CAV",1,
01-NOV-25,7534,"KAB",1,"BAR",1,
01-NOV-25,9288,"GUR",1,"POR",1,
01-NOV-25,3562,"SAR",1,"POR",1,
01-NOV-25,4526,"ARZ",1,"BAR",1,
01-NOV-25,8054,"SAM",2,"MOY",1,
01-NOV-25,7190,"AIB",1,"POR",1,
01-NOV-25,2098,"CAV",1,"POR",1,
01-NOV-25,6400,"ARE",1,"POR",1,
01-NOV-25,96,"GOB",1,"POR",1,
01-NOV-25,4604,"IND",1,"BOL",1,
01-NOV-25,8548,"CAV",1,"POR",1,
01-NOV-25,10466,"BAS",1,"POR",1,
01-NOV-25,2994,"ANS",1,"BER",1,
01-NOV-25,4326,"IND",1,"URB",1,
01-NOV-25,5718,"LEI",1,"ERA",1,
01-NOV-25,6452,"IND",1,"ABA",1,
01-NOV-25,252,"BAR",1,"ARE",1,
01-NOV-25,3094,"ARE",2,"ALG",1,
01-NOV-25,9098,"BID",1,"ARE",1,
01-NOV-25,10228,"NEG",1,"LEI",1,
01-NOV-25,9000,"PEN",1,"ERA",1,
01-NOV-25,10470,"ARE",2,"POR",1,
01-NOV-25,7258,"BAS",1,"ETX",1,
01-NOV-25,9438,"BAS",1,"BAR",1,
01-NOV-25,10488,"NEG",1,"POR",1,
01-NOV-25,10520,"URD",1,"PEN",1,
01-NOV-25,7556,"BAR",1,"ABT",1,
01-NOV-25,1564,"ABA",1,"ANS",1,
01-NOV-25,9278,"LAM",1,"POR",1,
01-NOV-25,10586,"ALG",2,"STZ",1,
01-NOV-25,636,"KAB",2,"ANS",1,
01-NOV-25,9018,"PEN",1,"ERA",1,
01-NOV-25,6938,"ARE",2,"ETX",1,
01-NOV-25,6014,"IND",1,"POR",1,
01-NOV-25,9160,"SAR",1,"POR",1,
01-NOV-25,9620,"SAM",1,"BAR",1,
01-NOV-25,6970,"DEU",1,"ABA",1,
01-NOV-25,1826,"BSR",2,"POR",1,
01-NOV-25,9042,"BAR",2,"ERA",1,
01-NOV-25,10630,"DEU",1,"ABA",1,
01-NOV-25,2748,"STZ",2,"ABA",1,
01-NOV-25,9146,"MOY",2,"ERA",1,
01-NOV-25,10010,"BAR",2,"PEN",1,
01-NOV-25,6022,"DEU",1,"PEN",1,
01-NOV-25,6944,"BAR",2,"ABA",1,
01-NOV-25,560,"GOB",1,"BOL",1,
01-NOV-25,5884,"SAM",1,"POR",1,
01-NOV-25,4050,"CAV",1,"SES",1,
01-NOV-25,7450,"ETX",1,"POR",1,
01-NOV-25,7452,"MOY",2,"CAV",1,
01-NOV-25,7456,"AST",2,"ARE",1,
01-NOV-25,7498,"KAB",2,"CAV",1,
01-NOV-25,8140,"BID",1,"ABA",1,
01-NOV-25,8148,"BID",1,"ARE",1,
01-NOV-25,8148,"SAM",1,"GOB",1,
01-NOV-25,8150,"SAM",1,"NAV",1,
