"CODCENTRO","DESCENTRO","NUMCENTRO","CODLINEA","ZONATARIFARIA","PUNTOKM","ID_ESTACION","ID_TALLER","ID_ALMACEN","ID_OAC","ID_CENTRAL","ID_TEMPORAL","ID_EMPRESACONC","IDZONASUPLEMENTARIO","IDMUNICIPIO","IDDISTRITO_CENSAL","IDSECCION_CENSAL","COORD_X","COORD_Y","SUBZONATARIFARIA","ORDENESTACION","CUADRO_MARCHA_NCOL","CUADRO_MARCHA_TCOMUN","CUADRO_MARCHA_ALIAS"
"NAV","OFICINAS CENTRALES",0,1,"",5.378,"1","","","","1","1","","A","","","",,,"",0,,0,""
"ARZ","ARIZ",1,1,"B",0.522,"1","","","","","","","A","","","",,,"B0",1,1,0,"ARZ"
"ETX","ETXEBARRI",2,1,"B",2.27,"1","","","","","","","A","","","",,,"B0",2,2,-1,"ETXETX"
"BOL","BOLUETA",3,1,"A",3.01,"1","","","","","","","A","","","",,,"A",3,3,-1,"BOLBOL"
"BAS","BASARRATE",4,1,"A",3.647,"1","","","","","","","A","","","",,,"A",4,4,-1,"BASBAS"
"SAN","SANTUTXU",5,1,"A",4.054,"1","","","","","","","A","","","",,,"A",5,5,-1,"SANSAN"
"CAV","ZAZPI KALEAK/CASCO VIEJO",6,1,"A",4.958,"1","","","","","","","A","","","",,,"A",6,6,-1,"CAVCAV"
"ABA","ABANDO",7,1,"A",5.547,"1","","","","","","","A","","","",,,"A",7,7,-1,"ABAABA"
"MOY","MOYUA",8,1,"A",6.021,"1","","","","","","","A","","","",,,"A",8,8,-1,"MOYMOY"
"IND","INDAUTXU",9,1,"A",6.798,"1","","","","","","","A","","","",,,"A",9,9,-1,"INDIND"
"SAM","SAN MAMES",10,1,"A",7.284,"1","","","","","","","A","","","",,,"A",10,10,-1,"SAMSAM"
"DEU","DEUSTO",11,1,"A",8.422,"1","","","","","","","A","","","",,,"A",11,11,-1,"DEUDEU"
"SAR","SARRIKO",12,1,"A",9.396,"1","","","","","","","A","","","",,,"A",12,12,-1,"SARSAR"
"SIN","SAN INAZIO",13,1,"A",10.113,"1","","","","","","","A","","","",,,"A",13,13,-1,"SINSIN"
"LUT","LUTXANA",14,1,"A",11.462,"1","","","","","","","B","","","",,,"B1",14,14,0,"LUTGUR"
"ERA","ERANDIO",15,1,"A",13.015,"1","","","","","","","B","","","",,,"B1",15,15,0,"ERAANS"
"AST","ASTRABUDUA",16,1,"A",14.769,"1","","","","","","","B","","","",,,"B1",16,16,0,"ASTBAR"
"LEI","LEIOA",17,1,"B",15.307,"1","","","","","","","B","","","",,,"B1",17,17,0,"LEIBAG"
"LAM","LAMIAKO",18,1,"B",16.156,"1","","","","","","","B","","","",,,"B1",18,18,0,"LAMURB"
"ARE","AREETA",19,1,"B",17.027,"1","","","","","","","B","","","",,,"B1",19,19,0,"ARESES"
"GOB","GOBELA",20,1,"B",17.918,"1","","","","","","","B","","","",,,"B1",20,20,0,"GOBABT"
"NEG","NEGURI",21,1,"B",18.9,"1","","","","","","","B","","","",,,"B1",21,21,0,"NEGPOR"
"AIB","AIBOA",22,1,"B",19.466,"1","","","","","","","B","","","",,,"B1",22,22,0,"AIBPEN"
"ALG","ALGORTA",23,1,"B",20.43,"1","","","","","","","B","","","",,,"B1",23,23,0,"ALGSTZ"
"BID","BIDEZABAL",24,1,"B",21.15,"1","","","","","","","B","","","",,,"B1",24,24,0,"BIDKAB"
"IBB","IBARBENGOA",25,1,"B",22.273,"1","","","","","","","B","","","",,,"B1",25,25,0,"IBB"
"BER","BERANGO",26,1,"B",23.124,"1","","","","","","","C","","","",,,"B1",26,26,0,"BER"
"LAR","LARRABASTERRA",27,1,"C",24.558,"1","","","","","","","C","","","",,,"C",27,27,0,"LAR"
"SOP","SOPELA",28,1,"C",25.887,"1","","","","","","","C","","","",,,"C",28,28,0,"SOP"
"URD","URDULIZ",29,1,"C",27.634,"1","","","","","","","C","","","",,,"C",29,29,0,"URD"
"PLE","PLENTZIA",30,1,"C",31.107,"1","","","","","","","C","","","",,,"C",30,30,0,"PLE"
"ABT","ABATXOLO",38,2,"B",17.949,"1","","","","","","","D","","","",,,"B2",38,20,0,"GOBABT"
"ST1","SOPELANA TALLER",90,1,"",26.835,"1","1","","","","","","C","","","",,,"",90,,0,""
"OAC","OAC CASCO VIEJO",97,1,"A",,"","","","1","","","","","0209","","",,,"",,,0,""
"OAS","OAC SAN INAZIO",98,1,"A",,"","","","","","","","","0209","","",,,"",,,0,""
"OAA","OAC AREETA",99,1,"B",,"","","","1","","","","","0448","","",,,"",,,0,""
"GUR","GURUTZETA/CRUCES",32,2,"B",12.834,"1","","","","","","","D","","","",,,"B2",32,14,0,"LUTGUR"
"ANS","ANSIO",33,2,"B",13.844,"1","","","","","","","D","","","",,,"B2",33,15,0,"ERAANS"
"BAR","BARAKALDO",34,2,"B",14.655,"1","","","","","","","D","","","",,,"B2",34,16,0,"ASTBAR"
"BAG","BAGATZA",35,2,"B",15.093,"1","","","","","","","D","","","",,,"B2",35,17,0,"LEIBAG"
"URB","URBINAGA",36,2,"B",15.907,"1","","","","","","","D","","","",,,"B2",36,18,0,"LAMURB"
"SES","SESTAO",37,2,"B",17.058,"1","","","","","","","D","","","",,,"B2",37,19,0,"ARESES"
"OAN","OAC ANSIO",96,2,"B",,"","","","1","","","","","0139","","",,,"",,,0,""
"AT1","ARIZ TALLER",91,1,"",1.259,"","1","","","","","","A","","","",,,"",91,,0,""
"POR","PORTUGALETE",39,2,"B",18.666,"1","","","","","","","D","","","",,,"B2",39,21,0,"NEGPOR"
"PEN","PEÑOTA",40,2,"B",19.3,"1","","","","","","","D","","","",,,"B2",40,22,0,"AIBPEN"
"STZ","SANTURTZI",41,2,"B",20.382,"1","","","","","","","D","","","",,,"B2",41,23,0,"ALGSTZ"
"BBK","BBK",80,1,"",,"","","","","","","1","","","","",,,"",,,0,""
"SIA","ALMACEN SAN INAZIO",81,1,"A",10.113,"","","1","","","","","","","","",,,"",,,0,""
"SIS","CENTRAL NAVARRA 2",85,1,"",5.544,"1","","","","","","","","","","",,,"",85,,0,""
"RES","CENTRAL NAVARRA 2 dup",86,1,"",5.544,"1","","","","","","","","","","",,,"",86,,0,""
"BSR","BASAURI",51,1,"B",-0.535,"1","","","","","","","A","","","",,,"B0",0,0,0,"BSR"
"KAB","KABIEZES",42,2,"B",22.095,"1","","","","","","","D","","","",,,"B2",42,24,0,"BIDKAB"
