"FECHASERVICIO","FECHACIRCULACION","NUMMATERIAL","NUMSERVICIO","NUMCIRCULACION","ESTACIONPARADA","ANDENPARADA","HORALLEGADATEOR","HORALLEGADAREAL","HORASALIDATEOR","HORASALIDAREAL","KILOMETROS","TIPOCIRCULACION","PASAJEROS","NUMEROCOCHES","LINEA","SENTIDO","IDINSTALACION","IDSERIE","IDUNIDAD","VELOCIDAD","CIRCID"
01-NOV-25,01-NOV-25,"00505","006","03211","ABA","1",37374,37440,37398,37457,"00003342","T",-1,4,1,1,"050","500","0505","3",2824252
01-NOV-25,01-NOV-25,"00524","206","02540","ABA","2",37662,37661,37687,37694,"00014205","T",-1,5,2,0,"050","500","0524","1",2824476
01-NOV-25,01-NOV-25,"00523","003","02539","ABA","1",37673,37695,37697,37723,"00006347","T",-1,5,2,1,"050","500","0523","2",2824253
01-NOV-25,01-NOV-25,"00524","206","02560","ABA","2",43662,43673,43687,43701,"00014205","T",-1,5,2,0,"050","500","0524","1",2824496
01-NOV-25,01-NOV-25,"00523","003","02559","ABA","1",43673,43688,43697,43709,"00006347","T",-1,5,2,1,"050","500","0523","2",2824273
01-NOV-25,01-NOV-25,"00558","020","03214","ABA","2",43962,43965,43987,43995,"00017140","T",-1,4,1,0,"050","550","0558","1",2824497
01-NOV-25,01-NOV-25,"00557","001","03839","ABA","1",43974,43984,43998,44014,"00003342","T",-1,4,1,1,"050","550","0557","1",2824274
01-NOV-25,01-NOV-25,"00514","107","03224","ABA","2",49962,49969,49987,49996,"00017140","T",-1,5,1,0,"050","500","0514","1",2824517
01-NOV-25,01-NOV-25,"00563","022","03849","ABA","1",49974,50010,49998,50042,"00003342","T",-1,4,1,1,"050","550","0563","3",2824294
01-NOV-25,01-NOV-25,"00603","101","02602","ABA","2",56262,56273,56287,56308,"00014205","T",-1,5,2,0,"050","600","0603","1",2824538
01-NOV-25,01-NOV-25,"00516","202","02601","ABA","1",56273,56292,56297,56322,"00006347","T",-1,5,2,1,"050","500","0516","2",2824315
01-NOV-25,01-NOV-25,"00608","411","03249","ABA","1",62574,62614,62598,62648,"00003342","T",-1,5,1,1,"050","600","0608","3",2824336
01-NOV-25,01-NOV-25,"00563","022","03259","ABA","1",68574,68574,68598,68599,"00003342","T",-1,4,1,1,"050","550","0563","1",2824356
01-NOV-25,01-NOV-25,"00514","107","03874","ABA","2",68562,68575,68587,68603,"00025937","T",-1,5,1,0,"050","500","0514","1",2824579
01-NOV-25,01-NOV-25,"00601","222","02643","ABA","1",68873,68879,68897,68909,"00006347","T",-1,5,2,1,"050","600","0601","1",2824357
01-NOV-25,01-NOV-25,"00604","220","02644","ABA","2",68862,68883,68887,68918,"00014205","T",-1,5,2,0,"050","600","0604","2",2824580
01-NOV-25,01-NOV-25,"00604","220","02664","ABA","2",74862,74867,74887,74896,"00014205","T",-1,5,2,0,"050","600","0604","1",2824600
01-NOV-25,01-NOV-25,"00601","222","02663","ABA","1",74873,74958,74897,74981,"00006347","T",-1,5,2,1,"050","600","0601","3",2824377
01-NOV-25,01-NOV-25,"00514","107","03891","ABA","1",75174,75186,75198,75208,"00003342","T",-1,5,1,1,"050","500","0514","1",2824378
01-NOV-25,01-NOV-25,"00519","230","03262","ABA","2",75162,75181,75187,75209,"00017140","T",-1,5,1,0,"050","500","0519","2",2824601
