"FECHASERVICIO","FECHACIRCULACION","NUMMATERIAL","NUMSERVICIO","NUMCIRCULACION","ESTACIONPARADA","ANDENPARADA","HORALLEGADATEOR","HORALLEGADAREAL","HORASALIDATEOR","HORASALIDAREAL","KILOMETROS","TIPOCIRCULACION","PASAJEROS","NUMEROCOCHES","LINEA","SENTIDO","IDINSTALACION","IDSERIE","IDUNIDAD","VELOCIDAD","CIRCID"
31-OCT-25,01-NOV-25,"00561","400","03905","ABA","1",727,750,751,788,"00003342","T",-1,4,1,1,"050","550","0561","3",2823831
31-OCT-25,01-NOV-25,"00609","104","08501","ABA","1",891,918,915,940,"00003342","M",-1,5,2,1,"050","600","0609","3",2823832
31-OCT-25,01-NOV-25,"00502","219","03904","ABA","2",746,1145,771,1194,"00025961","T",-1,4,1,0,"050","500","0502","3",2824179
31-OCT-25,01-NOV-25,"00603","101","02816","ABA","2",3342,3951,3367,3992,"00014205","T",-1,5,2,0,"050","600","0603","3",2824182
31-OCT-25,01-NOV-25,"00602","100","02807","ABA","1",3578,4464,3602,4502,"00006347","T",-1,5,2,1,"050","600","0602","3",2823836
31-OCT-25,01-NOV-25,"00513","102","03908","ABA","2",4346,4622,4371,4656,"00025961","T",-1,5,1,0,"050","500","0513","3",2824183
31-OCT-25,01-NOV-25,"00606","107","03909","ABA","1",4327,4634,4351,4657,"00003342","T",-1,5,1,1,"050","600","0606","3",2823837
31-OCT-25,01-NOV-25,"00518","105","02805","ABA","1",1778,2198,1802,2228,"00006347","T",-1,5,2,1,"050","500","0518","3",2823833
31-OCT-25,01-NOV-25,"00602","100","02814","ABA","2",1542,2419,1567,2472,"00014205","T",-1,5,2,0,"050","600","0602","3",2824180
31-OCT-25,01-NOV-25,"00502","219","03907","ABA","1",2527,2534,2551,2567,"00003342","T",-1,4,1,1,"050","500","0502","1",2823834
31-OCT-25,01-NOV-25,"00521","106","08503","ABA","1",2691,2692,2715,2722,"00003342","T",-1,5,2,1,"050","500","0521","1",2823835
31-OCT-25,01-NOV-25,"00604","103","02818","ABA","2",5142,5571,5167,5606,"00014205","T",-1,5,2,0,"050","600","0604","3",2824184
31-OCT-25,01-NOV-25,"00604","103","02811","ABA","1",7178,7334,7202,7360,"00006347","T",-1,5,2,1,"050","600","0604","3",2823840
31-OCT-25,01-NOV-25,"00521","106","06504","ABA","2",7796,7811,7821,7842,"00014105","T",-1,5,2,0,"050","500","0521","1",2824188
31-OCT-25,01-NOV-25,"00609","104","03913","ABA","1",7927,7936,7951,7959,"00003202","T",-1,5,1,1,"050","600","0609","1",2823842
31-OCT-25,01-NOV-25,"00606","107","03906","ABA","2",2546,2920,2571,2958,"00025961","T",-1,5,1,0,"050","600","0606","3",2824181
31-OCT-25,01-NOV-25,"00523","401","06524","ABA","2",2953,3157,2978,3194,"00012505","C",-1,5,2,0,"050","500","0523","3",
31-OCT-25,01-NOV-25,"00603","101","02809","ABA","1",5378,5698,5402,5724,"00006347","T",-1,5,2,1,"050","600","0603","3",2823838
31-OCT-25,01-NOV-25,"00513","102","03911","ABA","1",6127,6128,6151,6152,"00003342","T",-1,5,1,1,"050","500","0513","1",2823839
31-OCT-25,01-NOV-25,"00609","104","06500","ABA","2",5996,6299,6021,6336,"00014105","T",-1,5,2,0,"050","600","0609","3",2824185
31-OCT-25,01-NOV-25,"00502","219","07800","ABA","2",7946,8327,7971,8348,"00026012","M",-1,4,1,0,"050","500","0502","3",2824189
31-OCT-25,01-NOV-25,"00602","100","06506","ABA","2",8742,8749,8767,8778,"00014205","T",-1,5,2,0,"050","600","0602","1",2824190
31-OCT-25,01-NOV-25,"00561","400","03910","ABA","2",6146,6477,6171,6516,"00026012","M",-1,4,1,0,"050","550","0561","3",2824186
31-OCT-25,01-NOV-25,"00518","105","06502","ABA","2",6942,6981,6967,7008,"00014205","T",-1,5,2,0,"050","500","0518","3",2824187
31-OCT-25,01-NOV-25,"00518","105","06501","ABA","1",8978,8984,9002,9016,"00006347","T",-1,5,2,1,"050","500","0518","1",2823843
31-OCT-25,01-NOV-25,"00521","106","07801","ABA","1",9727,9736,9751,9789,"00003202","T",-1,5,1,1,"050","500","0521","1",2823845
31-OCT-25,01-NOV-25,"00606","107","07802","ABA","2",9746,10547,9771,10580,"00026012","T",-1,5,1,0,"050","600","0606","3",2824191
31-OCT-25,01-NOV-25,"00603","101","06508","ABA","2",10542,10635,10567,10664,"00014205","T",-1,5,2,0,"050","600","0603","3",2824192
31-OCT-25,01-NOV-25,"00602","100","06503","ABA","1",10778,10788,10802,10817,"00006347","T",-1,5,2,1,"050","600","0602","1",2823846
31-OCT-25,01-NOV-25,"00602","100","02814","ABT","2",222,517,239,579,"00002400","T",-1,5,2,0,"050","600","0602","3",2824180
31-OCT-25,01-NOV-25,"00604","103","02803","ABT","1",1312,1668,1330,1695,"00018380","T",-1,5,2,1,"050","600","0604","3",2823830
31-OCT-25,01-NOV-25,"00523","401","06524","ABT","2",1633,1730,1650,1767,"00000700","C",-1,5,2,0,"050","500","0523","3",
31-OCT-25,01-NOV-25,"00604","103","02818","ABT","2",3822,3961,3839,4014,"00002400","T",-1,5,2,0,"050","600","0604","3",2824184
31-OCT-25,01-NOV-25,"00521","106","08503","ABT","1",4025,4273,4043,4295,"00015375","T",-1,5,2,1,"050","500","0521","3",2823835
31-OCT-25,01-NOV-25,"00609","104","08501","ABT","1",2225,2354,2243,2377,"00015375","M",-1,5,2,1,"050","600","0609","3",2823832
31-OCT-25,01-NOV-25,"00603","101","02816","ABT","2",2022,2325,2039,2381,"00002400","T",-1,5,2,0,"050","600","0603","3",2824182
31-OCT-25,01-NOV-25,"00609","104","06500","ABT","2",4676,4833,4693,4862,"00002300","T",-1,5,2,0,"050","600","0609","3",2824185
31-OCT-25,01-NOV-25,"00602","100","06506","ABT","2",7422,7463,7439,7482,"00002400","T",-1,5,2,0,"050","600","0602","3",2824190
31-OCT-25,01-NOV-25,"00518","105","02805","ABT","1",3112,3619,3130,3641,"00018380","T",-1,5,2,1,"050","500","0518","3",2823833
31-OCT-25,01-NOV-25,"00518","105","06502","ABT","2",5622,5701,5639,5722,"00002400","T",-1,5,2,0,"050","500","0518","3",2824187
31-OCT-25,01-NOV-25,"00602","100","02807","ABT","1",4912,5885,4930,5905,"00018380","T",-1,5,2,1,"050","600","0602","3",2823836
31-OCT-25,01-NOV-25,"00604","103","02811","ABT","1",8512,8663,8530,8683,"00018380","T",-1,5,2,1,"050","600","0604","3",2823840
31-OCT-25,01-NOV-25,"00521","106","06504","ABT","2",6476,6537,6493,6554,"00002300","T",-1,5,2,0,"050","500","0521","3",2824188
31-OCT-25,01-NOV-25,"00603","101","02809","ABT","1",6712,7037,6730,7057,"00018380","T",-1,5,2,1,"050","600","0603","3",2823838
31-OCT-25,01-NOV-25,"00603","101","06508","ABT","2",9222,9245,9239,9267,"00002400","T",-1,5,2,0,"050","600","0603","3",2824192
31-OCT-25,01-NOV-25,"00518","105","06501","ABT","1",10312,10347,10330,10371,"00018380","T",-1,5,2,1,"050","500","0518","3",2823843
